id,description
C-1/89,"Judgment of 13 December 1989, Raab / Hauptzollamt Berlin-Packhof (C-1/89, ECR 1989 p. 4423) ECLI:EU:C:1989:648"
C-2/89,"Judgment of 3 May 1990, Bestuur van de Sociale Verzekeringsbank / Kits van Heijningen (C-2/89, ECR 1990 p. I-1755) ECLI:EU:C:1990:183"
C-3/89,"Yorck von Wartenburg / Parliament (C-3/89) ECLI:EU:C:1989:485, see Case  T-59/89"
C-4/89,"Judgment of 15 May 1990, Comune di Carpaneto Piacentino and others / Ufficio provinciale imposta sul valore aggiunto di Piacenza (C-4/89, ECR 1990 p. I-1869) ECLI:EU:C:1990:204"
C-5/89,"Judgment of 20 September 1990, Commission / Germany (C-5/89, ECR 1990 p. I-3437)          (SVX/00499 FIX/00521) ECLI:EU:C:1990:320"
C-6/89,"Judgment of 5 April 1990, Commission / Belgium (C-6/89, ECR 1990 p. I-1595, Summ.pub.) ECLI:EU:C:1990:166"
C-7/89,"van Gerwen / Commission (C-7/89) ECLI:EU:C:1989:486, see Case  T-60/89"
C-8/89,"Judgment of 26 June 1990, Zardi / Consorzio agrario provinciale di Ferrara (C-8/89, ECR 1990 p. I-2515) ECLI:EU:C:1990:260"
C-9/89,"Judgment of 27 March 1990, Spain / Council (C-9/89, ECR 1990 p. I-1383) ECLI:EU:C:1990:141"
C-10/89,"Judgment of 17 October 1990, CNL-SUCAL / HAG (C-10/89, ECR 1990 p. I-3711)          (SVX/00521 FIX/00543) ECLI:EU:C:1990:359"
C-11/89,"Judgment of 6 June 1990, Unifert / Hauptzollamt Münster (C-11/89, ECR 1990 p. I-2275) ECLI:EU:C:1990:237"
C-12/89,"Judgment of 22 February 1990, Gatto / Bundesanstalt für Arbeit (C-12/89, ECR 1990 p. I-557, Summ.pub.) ECLI:EU:C:1990:89"
C-13/89,"Dansk Pelsdyravlerforening / Commission (C-13/89) ECLI:EU:C:1989:487, see Case  T-61/89"
C-14/89,"Pierini (C-14/89) , see Case  54/88"
C-15/89,"Judgment of 5 February 1991, Deltakabel / Staatssecretaris van Financiën (C-15/89, ECR 1991 p. I-241) ECLI:EU:C:1991:38"
C-16/89,"Judgment of 12 July 1990, Spronk / Minister van Landbouw en Visserij (C-16/89, ECR 1990 p. I-3185) ECLI:EU:C:1990:305"
C-17/89,"Judgment of 6 June 1990, Hauptzollamt Frankfurt am Main-Ost / Deutsche Olivetti (C-17/89, ECR 1990 p. I-2301) ECLI:EU:C:1990:238"
C-18/89,"Judgment of 27 June 1990, Maizena / Hauptzollamt Krefeld (C-18/89, ECR 1990 p. I-2587, Summ.pub.) ECLI:EU:C:1990:264"
C-19/89,"Removed from the register on 10 May 1990, AMT (Tin Recoveries) / Council & Commission (C-19/89) ECLI:EU:C:1990:195"
C-20/89,"Enossi Kitroparagogon Kritis / Commission (C-20/89) , see Case  111/88"
C-21/89,"Removed from the register on 24 April 1991, Commission / Spain (C-21/89) ECLI:EU:C:1991:166"
C-22/89,"Judgment of 13 December 1990, Netherlands / Commission (C-22/89, ECR 1990 p. I-4799) ECLI:EU:C:1990:471"
C-23/89,"Judgment of 11 July 1990, Quietlynn and Richards / Southend Borough Council (C-23/89, ECR 1990 p. I-3059) ECLI:EU:C:1990:300"
C-24/89,"Pinto Teixeira / Commission (C-24/89) ECLI:EU:C:1989:488, see Case  T-62/89"
C-25/89,"Removed from the register on 6 July 1989, Commission / Italy (C-25/89) ECLI:EU:C:1989:295"
C-26/89,"Removed from the register on 6 July 1989, Bisider / Commission (C-26/89) ECLI:EU:C:1989:296"
C-27/89,"Judgment of 2 May 1990, SCARPE / ONIC (C-27/89, ECR 1990 p. I-1701) ECLI:EU:C:1990:175"
C-28/89,"Judgment of 21 February 1991, Germany / Commission (C-28/89, ECR 1991 p. I-581) ECLI:EU:C:1991:67"
