id,description
T-1/89,"Order of 15 November 1990, RhÃ´ne-Poulenc and others / Commission (T-1/89 to T-4/89 and T-6/89 to T-15/89, ECR 1990 p. II-637) ECLI:EU:T:1990:69"
T-1/89,"Judgment of 24 October 1991, RhÃ´ne-Poulenc / Commission (T-1/89, ECR 1991 p. II-867) ECLI:EU:T:1991:56"
T-2/89,"Petrofina / Commission (T-2/89) , see Case  T-1/89"
T-2/89,"Judgment of 24 October 1991, Petrofina / Commission (T-2/89, ECR 1991 p. II-1087) ECLI:EU:T:1991:57"
T-3/89,"Atochem / Commission (T-3/89) , see Case  T-1/89"
T-3/89,"Judgment of 24 October 1991, Atochem / Commission (T-3/89, ECR 1991 p. II-1177) ECLI:EU:T:1991:58"
T-4/89,"BASF / Commission (T-4/89) , see Case  T-1/89"
T-4/89,"Judgment of 17 December 1991, BASF / Commission (T-4/89, ECR 1991 p. II-1523) ECLI:EU:T:1991:73"
T-4/89 REV,"Order of 26 March 1992, BASF / Commission (T-4/89 REV, ECR 1992 p. II-1591) ECLI:EU:T:1992:46APPEAL :  C-255/92"
T-5/89,"Removed from the register on 13 February 1990, Rydalm / Commission (T-5/89) ECLI:EU:T:1990:11"
T-6/89,"Enichem Anic / Commission (T-6/89) , see Case  T-1/89"
T-6/89,"Judgment of 17 December 1991, Enichem Anic / Commission (T-6/89, ECR 1991 p. II-1623)          (SVXI/II-1 FIXI/II-1) ECLI:EU:T:1991:74APPEAL :  C-49/92"
T-7/89,"Hercules Chemicals / Commission (T-7/89) , see Case  T-1/89"
T-7/89,"Judgment of 17 December 1991, Hercules Chemicals / Commission (T-7/89, ECR 1991 p. II-1711)          (SVXI/II-83 FIXI/II-79) ECLI:EU:T:1991:75APPEAL :  C-51/92"
T-8/89,"DSM / Commission (T-8/89) , see Case  T-1/89"
T-8/89,"Judgment of 17 December 1991, DSM / Commission (T-8/89, ECR 1991 p. II-1833) ECLI:EU:T:1991:76"
T-8/89 REV,"Order of 4 November 1992, DSM / Commission (T-8/89 REV, ECR 1992 p. II-2399) ECLI:EU:T:1992:107APPEAL :  C-5/93"
T-9/89,"HÃ¼ls / Commission (T-9/89) , see Case  T-1/89"
T-9/89,"Judgment of 10 March 1992, HÃ¼ls / Commission (T-9/89, ECR 1992 p. II-499) ECLI:EU:T:1992:31APPEAL :  C-199/92"
